election_date,election_name,report_seq,snapshot,report_datetime,ballots_counted_total,ballots_vbm,ballots_election_day,registered_voters,parser,datetime_source,source_url
2018-06-05,Consolidated Statewide Primary Election,1,20180605_1,2018-06-05T20:52:50,79024,79024,0,478113,era_b_tsv,header,https://www.sfelections.org/results/20180605/data/20180605_1/summary.txt
2018-06-05,Consolidated Statewide Primary Election,2,20180605_2,2018-06-05T22:06:36,123283,79024,44259,478113,era_b_tsv,header,https://www.sfelections.org/results/20180605/data/20180605_2/summary.txt
2018-06-05,Consolidated Statewide Primary Election,3,20180605_3,2018-06-05T22:59:03,154012,79024,74988,478113,era_b_tsv,header,https://www.sfelections.org/results/20180605/data/20180605_3/summary.txt
2018-06-05,Consolidated Statewide Primary Election,4,20180605_4,2018-06-06T00:10:36,154290,79024,75266,478113,era_b_tsv,header,https://www.sfelections.org/results/20180605/data/20180605_4/summary.txt
2018-06-05,Consolidated Statewide Primary Election,5,20180606,2018-06-06T15:58:04,158944,83678,75266,478113,era_b_tsv,header,https://www.sfelections.org/results/20180605/data/20180606/summary.txt
2018-06-05,Consolidated Statewide Primary Election,6,20180607,2018-06-07T16:03:59,167009,91743,75266,478113,era_b_tsv,header,https://www.sfelections.org/results/20180605/data/20180607/summary.txt
2018-06-05,Consolidated Statewide Primary Election,7,20180608,2018-06-08T16:05:02,186484,111218,75266,481991,era_b_tsv,header,https://www.sfelections.org/results/20180605/data/20180608/summary.txt
2018-06-05,Consolidated Statewide Primary Election,8,20180609,2018-06-09T16:01:22,209697,134431,75266,481991,era_b_tsv,header,https://www.sfelections.org/results/20180605/data/20180609/summary.txt
2018-06-05,Consolidated Statewide Primary Election,9,20180610,2018-06-10T15:57:20,226124,150858,75266,481991,era_b_tsv,header,https://www.sfelections.org/results/20180605/data/20180610/summary.txt
2018-06-05,Consolidated Statewide Primary Election,10,20180611,2018-06-11T15:49:19,235190,159924,75266,481991,era_b_tsv,header,https://www.sfelections.org/results/20180605/data/20180611/summary.txt
2018-06-05,Consolidated Statewide Primary Election,11,20180612,2018-06-12T15:43:23,244398,161746,82652,481991,era_b_tsv,header,https://www.sfelections.org/results/20180605/data/20180612/summary.txt
2018-06-05,Consolidated Statewide Primary Election,12,20180613,2018-06-13T15:48:11,247160,162355,84805,481991,era_b_tsv,header,https://www.sfelections.org/results/20180605/data/20180613/summary.txt
2018-06-05,Consolidated Statewide Primary Election,13,20180614,2018-06-14T15:56:00,249573,162451,87122,481991,era_b_tsv,header,https://www.sfelections.org/results/20180605/data/20180614/summary.txt
2018-06-05,Consolidated Statewide Primary Election,14,20180615,2018-06-15T16:06:39,252919,163743,89176,481991,era_b_tsv,header,https://www.sfelections.org/results/20180605/data/20180615/summary.txt
2018-06-05,Consolidated Statewide Primary Election,15,20180618,2018-06-18T16:30:27,253582,163827,89755,481991,era_b_tsv,header,https://www.sfelections.org/results/20180605/data/20180618/summary.txt
2018-06-05,Consolidated Statewide Primary Election,16,20180621,2018-06-21T16:08:39,253583,163827,89756,481991,era_b_tsv,header,https://www.sfelections.org/results/20180605/data/20180621/summary.txt
2018-06-05,Consolidated Statewide Primary Election,17,20180627,2018-06-27T15:54:03,253583,163827,89756,481991,era_b_tsv,header,https://www.sfelections.org/results/20180605/data/20180627/summary.txt
2018-11-06,General Election,1,20181106_1,2018-11-06T20:51:44,118806,118806,0,500516,era_b_tsv,header,https://www.sfelections.org/results/20181106/data/20181106_1/summary.txt
2018-11-06,General Election,2,20181106_2,2018-11-06T21:40:47,154730,118806,35924,500516,era_b_tsv,header,https://www.sfelections.org/results/20181106/data/20181106_2/summary.txt
2018-11-06,General Election,3,20181106_3,2018-11-06T22:36:41,219746,118806,100940,500516,era_b_tsv,header,https://www.sfelections.org/results/20181106/data/20181106_3/summary.txt
2018-11-06,General Election,4,20181106_4,2018-11-07T01:00:13,221151,118806,102345,500516,era_b_tsv,header,https://www.sfelections.org/results/20181106/data/20181106_4/summary.txt
2018-11-06,General Election,5,20181107,2018-11-07T15:56:53,235393,133048,102345,500516,era_b_tsv,header,https://www.sfelections.org/results/20181106/data/20181107/summary.txt
2018-11-06,General Election,6,20181108,2018-11-08T15:59:15,242704,140359,102345,500516,era_b_tsv,header,https://www.sfelections.org/results/20181106/data/20181108/summary.txt
2018-11-06,General Election,7,20181109,2018-11-09T15:55:11,252945,150600,102345,500516,era_b_tsv,header,https://www.sfelections.org/results/20181106/data/20181109/summary.txt
2018-11-06,General Election,8,20181110,2018-11-10T15:44:19,273520,171175,102345,500516,era_b_tsv,header,https://www.sfelections.org/results/20181106/data/20181110/summary.txt
2018-11-06,General Election,9,20181111,2018-11-11T15:49:50,300277,197932,102345,500516,era_b_tsv,header,https://www.sfelections.org/results/20181106/data/20181111/summary.txt
