election_date,kind,sample_date,eligible,registered_cor,registered_ror,e_day,vbm,total,eligible_source,registered_cor_source,registered_ror_source,e_day_source,vbm_source,confidence
2002-03-05,Primary,2002-02-19,576971,440016,440016,98669,51580,150249,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-prim-02/county.pdf),archival recovery (per-release; see sources.json),CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-prim-02/county.pdf),"Certified Statement of Vote (DOE SOV sf020305.xls (mirror/doe-archives), sheet 'Propositions')","Certified Statement of Vote (DOE SOV sf020305.xls (mirror/doe-archives), sheet 'Propositions')",
2002-11-05,General,2002-10-21,574619,449508,449396,159645,65457,225102,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-gen-02/county.pdf),archival recovery (per-release; see sources.json),CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-gen-02/county.pdf),"Certified Statement of Vote (DOE SOV sf021105.xls (mirror/doe-archives), sheet 'PROPOSITIONS')","Certified Statement of Vote (DOE SOV sf021105.xls (mirror/doe-archives), sheet 'PROPOSITIONS')",
2002-12-10,Municipal,,,93537,,19079,16818,35897,,archival recovery (per-release; see sources.json),,SF Dept. of Elections historical turnout table (1899–2019),SF Dept. of Elections historical turnout table (1899–2019),
2003-10-07,Recall,2003-09-22,580024,454929,454931,187647,81496,269143,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-stwdsp-03/county.pdf),archival recovery (per-release; see sources.json),CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-stwdsp-03/county.pdf),SF Dept. of Elections historical turnout table (1899–2019),SF Dept. of Elections historical turnout table (1899–2019),
2003-11-04,Municipal,2003-09-22,580024,459213,454931,140010,69713,209723,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-stwdsp-03/county.pdf),archival recovery (per-release; see sources.json),CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-stwdsp-03/county.pdf),SF Dept. of Elections historical turnout table (1899–2019),SF Dept. of Elections historical turnout table (1899–2019),
2003-12-09,Municipal,,,466127,,162673,91199,253872,,archival recovery (per-release; see sources.json),,SF Dept. of Elections historical turnout table (1899–2019),SF Dept. of Elections historical turnout table (1899–2019),
2004-03-02,Primary,2004-02-17,570808,448948,448948,120104,70724,190828,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-presprim-04/county.pdf),archival recovery (per-release; see sources.json),CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-presprim-04/county.pdf),Certified Statement of Vote (https://elections.cdn.sos.ca.gov/sov/2004-primary/voter_part_by_county.pdf),Certified Statement of Vote (https://elections.cdn.sos.ca.gov/sov/2004-primary/voter_part_by_county.pdf),
2004-11-02,General,2004-10-18,571538,486937,486822,226354,135468,361822,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-presgen-04/county.pdf),archival recovery (per-release; see sources.json),CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-presgen-04/county.pdf),Certified Statement of Vote (https://elections.cdn.sos.ca.gov/sov/2004-general/sov_pref_pg7_8_voter_participation_stats.pdf),Certified Statement of Vote (https://elections.cdn.sos.ca.gov/sov/2004-general/sov_pref_pg7_8_voter_participation_stats.pdf),
2005-11-08,Municipal,2005-10-24,578065,428481,427539,136897,92817,229714,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-spstwd-05/county.pdf),archival recovery (per-release; see sources.json),CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-spstwd-05/county.pdf),Certified Statement of Vote (https://elections.cdn.sos.ca.gov/sov/2005-special/sov_pref_pgvi_vii_voter_participation_stats.pdf),Certified Statement of Vote (https://elections.cdn.sos.ca.gov/sov/2005-special/sov_pref_pgvi_vii_voter_participation_stats.pdf),
2006-06-06,Primary,2006-05-22,575791,421094,421094,81132,75140,156272,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-prim-06/county.pdf),archival recovery (per-release; see sources.json),CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-prim-06/county.pdf),Certified Statement of Vote (https://elections.cdn.sos.ca.gov/sov/2006-primary/p5regandpart.pdf),Certified Statement of Vote (https://elections.cdn.sos.ca.gov/sov/2006-primary/p5regandpart.pdf),
